index,equity
0,1000000.00
1,1000000.00
2,1000000.00
3,1000000.00
4,1000000.00
5,1000000.00
6,1000000.00
7,1000000.00
8,1000000.00
9,1000000.00
10,1000000.00
11,1000000.00
12,1000000.00
13,1000000.00
14,1000000.00
15,1000000.00
16,1000000.00
17,1000000.00
18,1000000.00
19,1000000.00
20,1000000.00
21,1000000.00
22,1000000.00
23,1000000.00
24,1000000.00
25,1000000.00
26,1000000.00
27,1000000.00
28,1000000.00
29,1000000.00
30,1000000.00
31,1000000.00
32,1000000.00
33,1000000.00
34,995763.25
35,985340.12
36,987812.77
37,992570.03
38,992118.92
39,994426.94
40,976350.14
41,979330.39
42,975890.15
43,970112.03
44,970649.49
45,971245.06
46,972717.83
47,973275.47
48,976938.36
49,978981.77
50,980122.06
51,974346.28
52,972526.57
53,970625.28
54,968874.90
55,942156.74
56,944309.82
57,941832.33
58,939655.04
59,932866.56
60,931722.23
61,934976.06
62,933975.38
63,933577.44
64,928258.59
65,945906.87
66,946166.72
67,954175.39
68,957915.03
69,960352.98
70,962135.64
71,964693.75
72,971392.74
73,967417.38
74,966520.07
75,957419.53
76,955546.49
77,971878.55
78,970327.42
79,983094.24
80,980641.76
81,975982.15
82,969746.46
83,964310.51
84,974261.54
85,975188.06
86,968159.09
87,963854.55
88,972643.59
89,968038.85
90,971253.13
91,974022.75
92,965587.99
93,970253.25
94,959880.08
95,963784.34
96,951891.58
97,952568.66
98,968646.52
99,978185.26
100,972516.89
101,956213.87
102,951063.60
103,951492.92
104,959434.61
105,964970.63
106,960949.35
107,956085.56
108,959014.16
109,960653.18
110,955682.87
111,962625.49
112,979779.08
113,985739.58
114,987915.26
115,988005.64
116,988275.10
117,976365.47
118,976834.34
119,973539.28
120,973546.62
121,971948.68
122,974264.85
123,959367.63
124,958673.61
125,959730.78
126,960965.49
127,961683.72
128,959975.30
129,963660.87
130,957133.05
131,950805.36
132,945948.03
133,945576.00
134,947456.31
135,950426.88
136,957721.35
137,953963.15
138,953799.25
139,955881.39
140,957431.64
141,954358.58
142,956632.71
143,969150.89
144,968631.99
145,967937.97
146,957304.94
147,951596.22
148,948928.28
149,948144.68
150,948812.88
151,957108.03
152,951864.95
153,946109.35
154,943158.23
155,941267.35
156,943494.67
157,947110.91
158,944174.24
159,932077.31
160,933866.43
161,934885.67
162,938872.25
163,938490.54
164,933699.38
165,933385.46
166,926854.41
167,924062.19
168,915694.40
169,914025.53
170,887564.00
171,887754.45
172,883315.95
173,880749.69
174,886942.53
175,885922.56
176,883469.28
177,884787.11
178,886086.38
179,879227.69
180,884279.51
181,882600.14
182,875407.35
183,876588.80
184,875966.60
185,879458.49
186,882380.64
187,881463.08
188,892741.71
189,895058.53
190,907487.21
191,899668.11
192,899254.20
193,899636.72
194,901804.32
195,902299.01
196,915332.87
197,933011.82
198,936572.30
199,938878.71
200,931405.00
201,925313.04
202,907760.79
203,909745.20
204,914742.95
205,914208.72
206,916144.71
207,919833.51
208,914757.48
209,908817.96
210,904978.25
211,904717.59
212,904743.41
213,906438.92
214,894391.22
215,897536.90
216,893906.21
217,891950.85
218,895421.76
219,892227.65
220,904032.45
221,913054.71
222,919100.75
223,918219.51
224,914136.09
225,907817.28
226,913910.13
227,928299.74
228,925039.46
229,925831.94
230,914103.81
231,908946.27
232,900336.39
233,899126.69
234,918808.62
235,917775.66
236,916879.00
237,925580.96
238,924481.83
239,921005.27
240,932244.36
241,932986.80
242,937823.15
243,942665.15
244,956893.37
245,953979.29
246,949943.48
247,950590.70
248,943858.70
249,950474.49
250,941194.80
251,940954.31
252,939888.26
253,939790.62
254,939524.31
255,941567.63
256,935532.08
257,926219.30
258,921852.54
259,920851.86
260,914831.72
261,904177.71
262,896052.83
263,892436.66
264,879582.77
265,879975.78
266,882299.13
267,880097.63
268,877386.92
269,875126.51
270,874772.24
271,879378.60
272,874891.60
273,863245.86
274,865263.36
275,873576.27
276,870011.75
277,868550.27
278,863877.74
279,868136.28
280,864473.31
281,865352.94
282,853772.49
283,853523.12
284,859218.93
285,863779.29
286,851022.23
287,858397.40
288,876676.76
289,874463.97
290,864715.41
291,868710.06
292,865700.75
293,865425.57
294,867267.14
295,865586.97
296,857000.49
297,856775.33
298,863424.21
299,850003.80
300,860504.48
301,859986.39
302,869784.17
303,866702.24
304,865248.83
305,868574.48
306,868556.73
307,862455.81
308,863036.85
309,857267.60
310,856525.97
311,858283.62
312,866289.06
313,870044.03
314,882090.12
315,895527.47
316,891348.02
317,893438.96
318,884616.83
319,877167.42
320,884005.13
321,869413.76
322,878710.40
323,880292.93
324,878806.43
325,878240.73
326,887594.66
327,888602.53
328,886046.84
329,886320.41
330,895181.27
331,903832.31
332,908019.03
333,899530.19
334,902533.04
335,902232.03
336,910869.35
337,910166.45
338,921948.65
339,932842.35
340,947290.07
341,940379.73
342,961523.93
343,960064.07
344,967665.20
345,1001292.89
346,999018.77
347,995756.07
348,975137.94
349,970830.26
350,974396.39
351,993851.55
352,989641.43
353,989357.36
354,975888.53
355,993248.72
356,988461.51
357,995901.33
358,986888.75
359,985936.49
360,1001348.58
361,994739.17
362,1001801.30
363,1017126.23
364,1016400.74
365,1020232.38
366,1023477.32
367,1019684.42
368,1011936.42
369,1026133.16
370,1009461.35
371,1011387.66
372,997951.03
373,995296.08
374,1016215.13
375,1016391.06
376,1013008.92
377,1011662.04
378,1003971.33
379,1007812.65
380,986540.13
381,982473.65
382,979825.89
383,987024.33
384,1000267.20
385,990406.46
386,994370.45
387,986104.35
388,985240.78
389,981011.37
390,993665.94
391,989091.05
392,999936.33
393,1000315.62
394,1004804.96
395,1014946.53
396,1012478.72
397,1001848.92
398,992455.44
399,995747.19
400,998725.83
401,992455.44
402,1008829.47
403,1005310.95
404,1008474.39
405,994520.55
406,995150.82
407,999446.48
408,1003261.97
409,1005480.42
410,1021661.57
411,1043150.37
412,1045371.23
413,1041206.31
414,1038874.88
415,1035533.10
416,1031239.05
417,1039026.60
418,1037857.26
419,1019167.14
420,1021111.20
421,1031410.13
422,1022660.64
423,1027269.42
424,1028326.59
425,1029401.51
426,1032845.79
427,1017544.18
428,1014576.92
429,1010410.38
430,1010783.21
431,1008700.35
432,989195.96
433,988953.86
434,986596.62
435,978671.88
436,974919.33
437,976751.94
438,982263.03
439,979672.56
440,975177.57
441,1004180.34
442,1007602.83
443,1004950.22
444,1004198.01
445,1021079.73
446,1021806.83
447,1027575.27
448,1031408.52
449,1035428.99
450,1036897.73
451,1044361.60
452,1034936.72
453,1047525.12
454,1040827.82
455,1039721.35
456,1024437.65
457,1019336.53
458,1023066.56
459,1061947.01
460,1075858.89
461,1069316.46
462,1060735.71
463,1062340.75
464,1067023.04
465,1082187.38
466,1084001.52
467,1089433.43
468,1099972.05
469,1102982.16
470,1098658.25
471,1102577.85
472,1105855.08
473,1093257.00
474,1076762.73
475,1086179.61
476,1077981.30
477,1079054.53
478,1075883.10
479,1072726.92
480,1076019.48
481,1059806.85
482,1075553.03
483,1066997.22
484,1068217.40
485,1062430.41
486,1064851.41
487,1081468.26
488,1078538.13
489,1089907.95
490,1089069.48
491,1092040.04
492,1100351.34
493,1094790.30
494,1098019.03
495,1077843.30
496,1076504.49
497,1078513.92
498,1083218.73
499,1087826.70
500,1081241.58
501,1077996.63
502,1080951.06
503,1082612.67
504,1088059.92
505,1091602.65
506,1089932.97
507,1082500.42
508,1079660.66
509,1079885.82
510,1080086.68
511,1070411.64
512,1067295.81
