uid,status,symbol_id,side,entry_time,entry_size,entry_price,entry_price_scaled,entry_size_scaled, exit_time,exit_size,exit_price,exit_size_scaled,exit_price_scaled
0,2,0,2,33,807,1238.000000,12386679,807,74,807,1197.000000,807,11971810
51,2,0,1,74,807,1197.000000,11971810,807,96,807,1179.000000,807,11790540
133,2,0,2,96,807,1179.000000,11790540,807,114,807,1223.000000,807,12236930
55,2,0,1,114,807,1223.000000,12236930,807,128,807,1189.000000,807,11890710
117,2,0,2,128,807,1189.000000,11890710,807,146,807,1185.000000,807,11857620
158,2,0,1,146,807,1185.000000,11857620,807,155,807,1165.000000,807,11658889
86,2,0,2,155,807,1165.000000,11658889,807,193,807,1114.000000,807,11143020
41,2,0,1,193,807,1114.000000,11143020,807,213,807,1122.000000,807,11227310
39,2,0,2,213,807,1122.000000,11227310,807,228,807,1145.000000,807,11457800
244,2,0,1,228,807,1145.000000,11457800,807,260,807,1133.000000,807,11331310
8,2,0,2,260,807,1133.000000,11331310,807,298,807,1069.000000,807,10694290
236,2,0,1,298,807,1069.000000,10694290,807,300,807,1065.000000,807,10658110
158,2,0,2,300,807,1065.000000,10658110,807,313,807,1077.000000,807,10776320
41,2,0,1,313,807,1077.000000,10776320,807,381,807,1216.000000,807,12169500
35,2,0,2,381,807,1216.000000,12169500,807,400,807,1237.000000,807,12370890
61,2,0,1,400,807,1237.000000,12370890,807,430,807,1252.000000,807,12520300
180,2,0,2,430,807,1252.000000,12520300,807,449,807,1282.000000,807,12825700
45,2,0,1,449,807,1282.000000,12825700,807,484,807,1323.000000,807,13232000
174,2,0,2,484,807,1323.000000,13232000,807,495,807,1335.000000,807,13351280
92,2,0,1,495,807,1335.000000,13351280,807,511,807,1325.000000,807,13259190
8,2,0,2,511,807,1325.000000,13259190,807,530,807,1316.000000,807,13168900
57,2,0,1,530,807,1316.000000,13168900,807,534,807,1315.000000,807,13158910
35,2,0,2,534,807,1315.000000,13158910,807,545,807,1311.000000,807,13118290
145,2,0,1,545,807,1311.000000,13118290,807,546,807,1268.000000,807,12681289
35,2,0,2,546,807,1268.000000,12681289,807,569,807,1276.000000,807,12760900
57,2,0,1,569,807,1276.000000,12760900,807,582,807,1226.000000,807,12269780
